,Spearman_coef,Sp-value,mic_score,row
PLEKHA6,0.539153790493223,2.7737372289168525e-102,0.4324811577556731,6079
APLP1,0.526484119793903,8.956130073410669e-97,0.4323175326382099,469
CXADR,0.4716339436970124,1.9563642832763e-75,0.4323095481385433,1951
KCNH2,0.44297484066488213,9.712297671882087e-66,0.4320426037928462,4062
ELAVL3,0.5184809833390001,2.058378671709357e-93,0.431956377675806,2531
GLYAT,-0.46769738729865173,4.7712583177428154e-74,0.4318184896456574,3222
DPT,-0.3238779175897786,3.2172564995735866e-34,0.4316489104882542,2317
SLC19A3,-0.11594920761749483,2.018988280846756e-05,0.43135266148640034,7543
SYN1,0.5489616754495101,1.0331750801829977e-106,0.43130165209889787,8122
GABRG2,0.44037406166768717,6.640835254843795e-65,0.4311861791699289,3075
CIDEC,-0.4421937244879191,1.733161043116689e-65,0.43079620470844854,1546
JPH3,0.42811478014345306,4.583241232993099e-61,0.43079148456698013,4015
PCDH8,0.42665301658037724,1.2836839010474785e-60,0.430764067037821,5746
HOMER1,0.47501641600869476,1.2160516455381196e-76,0.43049685963362516,3640
ASTN1,0.5547676715463876,2.1005560053639919e-109,0.43046910954086465,653
ROGDI,0.47451060183009863,1.8460088166716585e-76,0.4302638633124593,6993
DPF1,0.4576123974058337,1.4149845085073717e-70,0.4301774066869217,2304
MLXIPL,-0.10120032746071385,0.00020117056758641485,0.4299932451636678,4848
DTX3,0.5580256326031667,6.1438400455295634e-111,0.429601141327194,2349
FERMT2,-0.11224084745006652,3.6982881295666794e-05,0.4293989721504281,2894
BMPR1B,0.6181382275728816,1.4132045486107e-142,0.429259272920403,899
ADAMTS5,-0.15557555390456865,9.736017795061412e-09,0.42885235878657857,163
TNMD,-0.31100819227984294,1.495734079529169e-31,0.4286557627803415,8567
CHGB,0.5214436966232228,1.2012056503595526e-94,0.42844977280543367,1500
ZDHHC8P1,0.4714612365260173,2.25263138249351e-75,0.428415745026795,9354
WLS,0.5454791906309179,4.013790125368381e-105,0.42831980507501893,9214
SPARC,-0.15005332448975006,3.214953193799382e-08,0.42816767462162614,7864
MGLL,-0.2276575544444581,2.8479810046038884e-17,0.4281464754872982,4793
SEPT11,-0.15512324333416969,1.0754107749132596e-08,0.4279454016696693,7359
SLIT3,-0.11393136218400214,2.8129355225007017e-05,0.4279316580985074,7699
SLC8A2,0.44554860765281257,1.4253308998459448e-66,0.4278931408969829,7682
HNMT,-0.1940554288312993,7.044830684260762e-13,0.4278897111392674,3621
GRIK5,0.5474392705175714,5.143884248079504e-106,0.427820157966064,3368
THSD4,0.4602077971853327,1.854755268164358e-71,0.42744547475681305,8368
FSTL1,-0.14891657814333403,4.0894299476000165e-08,0.42720315153194344,3017
TYRO3,0.018303662549110426,0.5024084761665291,0.4271458083823693,8875
SPAG6,0.4510658845370793,2.2032533113685813e-68,0.42702302191020725,7860
APBB2,-0.14921063957764558,3.8433357265333946e-08,0.4268843739374258,456
SIX3,0.4590417820739476,4.631136109320209e-71,0.42680841598743197,7502
CACNG4,0.44171045320237257,2.47811876269715e-65,0.4266502168217511,1085
AOC3,-0.13416381833986085,7.887842635952834e-07,0.42664217145365424,427
LAPTM4B,0.551848796050027,4.811033951369002e-108,0.4265680078697176,4284
RBFOX1,0.48000782688499,1.903885530163793e-78,0.42653556276071447,6753
VGF,0.4499455471477156,5.169841956817013e-68,0.4261060408218839,9095
FUT3,0.45208409818140965,1.012078677440209e-68,0.42599632229632156,3030
TAGLN3,0.5184677659031299,2.084504161536474e-93,0.42555184165657234,8180
DNAI1,0.5059418443761953,2.52912226664265e-88,0.4251835913527915,2238
NPY1R,-0.07767935402247535,0.0043651849211535955,0.4248982907061703,5444
GABRE,-0.13778331412692027,3.9239316311135457e-07,0.4248594609334565,3074
KCNC1,0.41031091375772644,9.150934682198081e-56,0.4246074678193548,4052
ALDH2,-0.12500243593255575,4.26252802203033e-06,0.42440536679730845,323
DIRAS2,0.4385879147526685,2.4627306682642678e-64,0.4241930191092121,2199
EGF,0.5889482566742343,2.207163816582461e-126,0.423726865375552,2462
HPCA,0.4129544206629289,1.5651117322290068e-56,0.42371466257936613,3650
CNGB1,0.43366127646469543,8.787314541354965e-63,0.42355942886578896,1641
LEP,-0.41130925561985765,4.7058877253400415e-56,0.42352239176821305,4318
AR,-0.16202912790068744,2.282594421078306e-09,0.42345053246912623,501
VGLL3,-0.1264187289511831,3.3085798220176228e-06,0.42319517504933435,9096
EFEMP1,-0.020186758702639872,0.45946924043323156,0.42301631221992386,2447
GPR37L1,0.47290409266916794,6.918090543264928e-76,0.42300489859646057,3333
PLIN1,-0.12852250621582853,2.259548483448205e-06,0.42285762563791757,6094
STEAP1,-0.11955518013512423,1.1011403320259467e-05,0.4225931169997202,8024
TRH,0.4083524172996658,3.3513701495440945e-55,0.4225168601484152,8677
SLC7A1,0.4442059884589424,3.886517622498983e-66,0.42235058139307274,7674
ST8SIA3,0.4373874761009889,5.916354461797488e-64,0.4223155192285803,7998
IRGQ,0.4956942398198612,2.555931437517659e-84,0.42229246972501916,3934
MAB21L1,0.14405191061364997,1.1219355586150014e-07,0.4222729613360515,4514
SLC17A7,0.23488328912031203,2.5795741751298386e-18,0.4221880489480502,7538
RAB17,0.5051926039486603,5.01651822579619e-88,0.4220884917172738,6611
SEPT4,0.4015905112807033,2.7729960936003505e-53,0.42189076549129534,7361
ARHGAP25,-0.51813442212116,2.864608903783542e-93,0.4213717397121397,533
PTPRN,0.437392761595497,5.8936128557364226e-64,0.42120007424480055,6551
NTM,0.21058705720434384,6.0161743510600146e-15,0.4208664441374865,5506
GOT1,0.49912102840094325,1.2121699680831096e-85,0.4207296853661129,3293
VSNL1,0.4988824288961725,1.5005082925014535e-85,0.42056325368038455,9142
ADCY7,-0.5283743315105012,1.396348356036704e-97,0.4200959104722606,180
CA10,0.4447542271783857,2.581710009862653e-66,0.41962306556118667,1052
LIPE,-0.15877768553825508,4.775413344527852e-09,0.4196160596607831,4367
ST6GALNAC5,0.554319270219477,3.4050332193784514e-109,0.41944282973440733,7994
SCG3,0.41952670000911085,1.8102846178826313e-58,0.41931794566683955,7253
GABRA3,0.4082974585156592,3.47526723764925e-55,0.4192683691816151,3068
BHMT2,-0.11831463782469359,1.3591836470874778e-05,0.4191077448960212,874
PTGER3,-0.12651459297383588,3.2520078915950664e-06,0.4189352363874016,6504
FBN1,-0.14844819404623888,4.513232521148184e-08,0.41868706610329726,2840
DAB2,-0.09057749718949153,0.0008822516984595579,0.41858184779398405,2009
C11orf49,0.4971929845796968,6.766157842722454e-85,0.41852181714367553,969
PKM,0.5404660927022613,7.226547673287539e-103,0.418396773215384,6029
ATP2B3,0.42882296241556206,2.7776862812324374e-61,0.4180752106296882,709
TCEAL2,0.5692255609364553,2.4177936135226928e-116,0.41788137438645007,8247
FAM155B,0.4493131302072901,8.355272401112002e-68,0.4177925968000861,2777
MYT1L,0.4155146890454261,2.7872805610547974e-57,0.41722118858468216,5131
SH3GL3,0.443290941846709,7.679829613874938e-66,0.4171096304126363,7458
ERBB3,0.5040173916328788,1.4636825668451622e-87,0.4167146524275461,2639
SLC1A3,0.3853329665045851,7.5073084632328e-49,0.41663243720437476,7546
CYP2J2,0.5203612801288959,3.402800850133896e-94,0.41657892665391205,1993
MARC1,-0.20312889395571151,5.426935332380383e-14,0.41630712934911146,4620
CAMKV,0.3778464544580633,6.825997595766697e-47,0.4158514340755589,1117
RBM3,-0.4980256731739097,3.2240955132376635e-85,0.4158364443747764,6770
PAIP2B,0.5302463929918749,2.1906148102389824e-98,0.41569055765029617,5674
GPC3,-0.07182418531523381,0.008412435892186479,0.4156552746145135,3306
KLHDC8A,0.4906047574932022,2.2199974469837767e-82,0.4152833520352844,4189
C2orf72,0.48420233169358884,5.486171390032384e-80,0.4152136272902166,1025
NOL4,0.45963437899158505,2.9101236079296557e-71,0.4151199202053229,5397
CAV2,-0.10344220584248379,0.000144500052714415,0.41488864049998136,1170
BRINP1,0.4936796081051479,1.5098281028182176e-83,0.4148822043878451,929
CTNND2,0.5074766972273048,6.185102605140374e-89,0.41488162848853094,1911
FRMD4A,-0.14810761631401564,4.8477874006312796e-08,0.41485797099443367,3004
NLRP1,-0.537953415967935,9.443298479690453e-102,0.414692963272788,5368
ANXA6,-0.193710534899641,7.747121461818782e-13,0.4143129572113517,424
SCG2,0.5279860240117251,2.0474789176327817e-97,0.4142504850254643,7252
FRAS1,0.5148513407836687,6.43674353033539e-92,0.4142263596765613,3001
LRP2,0.5432529418239023,4.0723498384117806e-104,0.41412783499954753,4429
STK17B,-0.544104426850055,1.682118268562694e-104,0.41408354781031537,8034
PFKM,0.5020904872882833,8.395069160913949e-87,0.4137816204929252,5897
TUBB4A,0.5418581262136639,1.7237647752378886e-103,0.41375676311598386,8835
SGCG,-0.16109664384273636,2.825106278731831e-09,0.41357065052644415,7434
ZNF117,-0.05463073805121196,0.04515860592424095,0.413568205310379,9409
ACTL6B,0.4090376275251815,2.1301530206897505e-55,0.41341216169207423,127
GRIA2,0.380096005809229,1.7823315175766723e-47,0.413301248474725,3361
CXCL12,-0.177514003918737,5.516894292131826e-11,0.4132343407646841,1954
PFKFB2,0.5794361078376395,1.8684898598270394e-121,0.41315732053288856,5893
PEX19,-0.1566471503035119,7.683343232105097e-09,0.41279064045034053,5878
IGF1,-0.12383212928573228,5.244344170178366e-06,0.4127150528478175,3793
EMP1,-0.13974273055206046,2.668660741898444e-07,0.4125934421433107,2570
APBB1IP,-0.5416253770089274,2.1915734383768576e-103,0.41251648923983136,455
MEOX1,-0.4071601892925116,7.354787128013634e-55,0.41249458620739926,4744
CLDN10,0.500440478236246,3.7131750269811906e-86,0.4124896979535754,1577
TSPAN14,-0.5207427039061728,2.358681113042826e-94,0.41236329159584767,8768
HOXB3,-0.39279498966871224,7.444579100044956e-51,0.41228807276271495,3647
AVPR1A,-0.10022882495986973,0.00023170878374281296,0.41216855444049466,764
PCOLCE2,-0.15426114045740671,1.2988339622751432e-08,0.4121212098736886,5765
PARVA,-0.1378105826417512,3.9030775572908627e-07,0.41211147218929595,5719
MAOA,-0.05396443771202122,0.04784904743697461,0.41204627813128736,4557
PCP4,0.5694891228723586,1.7935494172329492e-116,0.41200802653076907,5766
DSCAM,0.39479300524880034,2.120896429441218e-51,0.4119284802044183,2335
CELF3,0.38847449129900413,1.0920760655304076e-49,0.4117670061857588,1412
MEOX2,-0.19469271691108733,5.907608779405426e-13,0.41172335437152124,4745
C1orf115,-0.109564655816342,5.659104675970786e-05,0.4117221411641638,997
NEBL,0.4912021811550079,1.3196559561017972e-82,0.4116386531874959,5269
MAGEF1,0.5518549250532248,4.779659995787429e-108,0.4114232749323753,4530
SLC12A5,0.4119003776304882,3.1707724263152313e-56,0.41140089612592085,7520
NBEA,0.5260840820982623,1.3252082753782763e-96,0.41114363504436047,5181
RIPK4,0.4546287493211509,1.4317032248951086e-69,0.41113882948401187,6913
ATP1A3,0.541836342971715,1.7629539221536757e-103,0.41090395630684856,701
SCRT1,0.38906712521263676,7.573352093675878e-50,0.41076297576501436,7279
LRP4,0.5411988600463524,3.401223616350146e-103,0.41051411942171356,4432
MAP7,0.464974010972703,4.243772251428905e-73,0.4102084140963659,4591
DDC,0.4185743145721646,3.476048283083389e-58,0.41016941962762204,2075
RBP4,-0.1471409602885372,5.933429612012144e-08,0.410164714679849,6791
GABBR2,0.49863679275312284,1.8688296219253148e-85,0.4101405513116919,3064
SNAP91,0.5417074464581857,2.0137057028311329e-103,0.40995408626197355,7764
COL4A2,-0.15309726618094133,1.673048757829571e-08,0.40984792449734836,1700
SPEF1,0.42855594012091147,3.355437521058606e-61,0.40967388301147156,7878
EHD3,0.49102511585578323,1.539776008633319e-82,0.4091406415193484,2475
CDK18,0.49665502334770834,1.0910785839729737e-84,0.4091179250844358,1364
ISL1,0.4107506037609773,6.829397814545022e-56,0.408973046414199,3942
EPS8,-0.06711969811258439,0.013814460020261961,0.40894400520793117,2632
ATRNL1,0.5063242127845488,1.781934999355381e-88,0.4084915927392777,744
KIF5A,0.46907124591083316,1.572404090799506e-74,0.40843718846713667,4161
CALB2,-0.06877837162668758,0.011634599909515167,0.4084060815836038,1095
CDH22,0.4826565625575081,2.0390423986034698e-79,0.40828005184660315,1348
CIDEA,-0.3296325731109759,1.8710980424471006e-35,0.40800197671728317,1545
TMPRSS3,0.4487199216225326,1.3095412286751417e-67,0.40783108193538936,8537
CCDC181,0.5708796296823611,3.693690634172761e-117,0.40777255267966256,1194
WFDC2,0.5514417661113014,7.426876592208786e-108,0.4077307394757341,9206
KLF8,-0.2469423951803462,3.9027876762854673e-20,0.4073647211511995,4183
HS6ST1,0.5704474301349298,6.041071557268891e-117,0.407350322489566,3671
ADH1B,-0.21046815207590686,6.234990192666793e-15,0.4073180299698563,202
MTCL1,0.5555690615286971,8.843060875938105e-110,0.4069252450950092,5013
SEMA3C,-0.1695537852846166,3.9035434637174853e-10,0.406511112653729,7336
HSPB7,0.011246116600042995,0.6802863920552554,0.4064670154545461,3703
PPFIA2,0.2334222087499467,4.219933577319711e-18,0.4061560191090531,6236
ATXN3,-0.4937790138777371,1.3835252284895476e-83,0.4058062535412276,750
CHRNA4,0.40500620846243707,3.0183463767698386e-54,0.40573798786875864,1527
HCN2,0.5325420980801997,2.2242484264108543e-99,0.40563392461941306,3495
C2CD2,-0.03785908212798362,0.16524070350561987,0.40558931171017687,1018
PALMD,-0.1339941695044655,8.146655093070685e-07,0.40530377580271104,5684
CAMKK2,-0.1523999114034152,1.9453325979964342e-08,0.40519626836967204,1116
TK2,-0.1529044381213798,1.744399024499799e-08,0.4051721393143373,8407
TPI1,0.43155776310481553,3.971187305393163e-62,0.4051097731478994,8624
TGFBR2,-0.4789365042564109,4.673522196187227e-78,0.40504343661790304,8333
CHD5,0.4861664367445154,1.0246580326763096e-80,0.4050432636151409,1491
RASA3,-0.46058802229236673,1.375196769496002e-71,0.4049696842936243,6726
ADCY2,0.38947119300535,5.898154253479153e-50,0.40490664226677614,177
LUM,-0.1310990380377971,1.404799193893276e-06,0.40490011758210814,4492
SRGAP3,0.546181902428543,1.9246288451064166e-105,0.40480689924365093,7935
GOT2,0.5000856792434841,5.106603210818679e-86,0.4046395622890698,3294
MMRN2,-0.11072618208031472,4.710559059337059e-05,0.4046206292319,4869
EMX2,-0.1729705997454041,1.704385446231401e-10,0.40457525791585053,2573
COLGALT2,0.5450074472974624,6.567801574288882e-105,0.40437539421677987,1720
ADGRV1,0.5351618560229106,1.6002647249175322e-100,0.4042068945861805,201
MT3,0.47957366901621507,2.7406804153519506e-78,0.40403812825712854,5007
ADGRL4,-0.15648503385273066,7.964384191207285e-09,0.4039468400657634,200
ACADL,-0.14787981717343132,5.0848289884414664e-08,0.4039271630615871,79
GRM5,0.3636820838943783,2.5238801975212318e-43,0.40383215978081144,3379
PPP1R16B,-0.32647022697048206,9.00072577049131e-35,0.40354311084409744,6275
MPPED1,0.33133125656064233,7.985749710837143e-36,0.40352747033327413,4915
SCUBE2,-0.0743771161586914,0.006353274122741813,0.4031176427099816,7280
ACOX1,-0.07939139055999407,0.00357388521041976,0.4030031146959673,105
SHANK2,0.3623669921873051,5.300841460082014e-43,0.40277556667284653,7466
MCAM,-0.15719087304514628,6.809341727264792e-09,0.40265670978307444,4668
LZTS3,0.5062804983166703,1.8547613710821832e-88,0.40245371457092105,4512
WIF1,0.44129350340414536,3.372046624544349e-65,0.40232727268486507,9208
HOOK1,0.4969036536999661,8.749738643800466e-85,0.40228156330447046,3643
PRKCZ,0.5395842216320856,1.7854814066712412e-102,0.4021549455812529,6372
MRPL57,0.14789786628626897,5.0656454197043395e-08,0.40195421815719673,4957
FOXO1,-0.4617324983353711,5.575811042639068e-72,0.40184265247172873,2993
RLBP1,0.3001484495212291,2.1136107325834583e-29,0.4018206646290337,6916
MAP1A,0.43969355733275556,1.095169841658881e-64,0.4016558737558372,4559
NRXN1,0.5063324209626743,1.7685817094897543e-88,0.4016287987894889,5481
SST,0.3830185809051053,3.065210150849779e-48,0.4015305985105158,7978
EPB41L2,0.19250719329554136,1.0777868954246928e-12,0.40138272101773537,2603
CYP26B1,-0.05180082312480765,0.057529676323519546,0.40134492786868553,1989
LRRC49,0.5336136648823468,7.601106534255617e-100,0.40116982096644915,4451
THBD,0.054829088379650726,0.044382732454700945,0.4010181863448002,8350
GRIN2A,0.5217965668914372,8.547502173269237e-95,0.4009845847024093,3370
KCNC2,0.36926647151386127,1.0391255764488082e-44,0.400386787051867,4053
RGS7,0.4396511278591089,1.1298250202026671e-64,0.4002457381229424,6877
COL5A2,-0.22389782163815375,9.62218608301264e-17,0.4002204258130681,1707
TOX3,0.4099522795134666,1.1613960912726763e-55,0.4001968179664101,8608
TNFAIP8,-0.5394353670123686,2.0794419680776088e-102,0.40010080010809845,8548
CLGN,0.5249500537242905,4.012629656197036e-96,0.4000692285594874,1593
DHDDS,-0.11486191998380534,2.4156525830330877e-05,0.39972232404781916,2164
ACSM5,-0.1875850660525779,4.0682121170332116e-12,0.39957014627281956,119
CYBRD1,-0.11314119925302325,3.19825905433492e-05,0.39948049642489325,1978
MFAP4,-0.08020474751353719,0.003245696340016132,0.39943951493572777,4771
FABP7,0.4191424793345999,2.3559393341165046e-58,0.3994296426769128,2745
RCAN2,0.404711784467373,3.6579384771750414e-54,0.3993321552417044,6797
CFAP20,0.1787864367769936,4.001057929705023e-11,0.3993249445157508,1462
GAD2,0.3745986377031564,4.656626851433809e-46,0.3993120307332721,3081
ADGRF1,-0.3208061549102287,1.4323546243501446e-33,0.39927828747438987,193
KCNN1,0.38445646725290644,1.2807095122762985e-48,0.39919766414725644,4077
TIMP2,-0.10050286909440123,0.00022268108525193557,0.39873675235604233,8395
NOVA1,-0.013749499940385655,0.614396684579295,0.3986824059395856,5416
SERPING1,-0.08040221240449184,0.003170273506911293,0.39859818777085254,7388
CD34,-0.14777133998282946,5.2016146566282376e-08,0.39857876780881174,1278
MYT1,0.49761697594900234,4.640125497432134e-85,0.39854596930695146,5130
MBOAT2,0.5097306708330916,7.717608440488739e-90,0.39847065506695095,4662
OPCML,0.4514147222418215,1.6882891362759673e-68,0.3982540742683473,5600
RIMBP2,0.3161619415828903,1.3255143001317757e-32,0.39824635352675514,6901
BANK1,-0.2495419089145068,1.534022421621951e-20,0.3981536132558564,807
GABRG3,0.3498817193934501,5.123542999786535e-40,0.39796647238718535,3076
SCN4A,-0.31879336806247394,3.775314378706146e-33,0.39795473479292187,7266
FBLN2,-0.19151373983757033,1.4132347956592657e-12,0.39794983209286294,2838
CHIT1,-0.3970543780536188,5.0672918010445775e-52,0.3979419248884506,1504
ADRA2A,-0.19993662792073383,1.3562036218219067e-13,0.3978641828044759,220
PRKAA2,0.5064488670906332,1.5895410699823803e-88,0.39770761950574185,6352
CPB1,-0.4022008440784194,1.869255498792746e-53,0.3976500916278809,1779
NPR1,-0.17207086454236667,2.1234574743222713e-10,0.3976328693715735,5434
GRAMD1B,0.5729180350235628,3.5933839856742326e-118,0.3974387872134697,3348
KCNJ4,0.4059385667340046,1.6402008311032268e-54,0.3971865591024392,4069
ERC2,0.5113541882861963,1.7069624658900952e-90,0.3971114433013754,2642
RNF43,0.4210494033754106,6.350905284958254e-59,0.3970571947633844,6973
RAB3A,0.538320576555879,6.495463655394709e-102,0.3970002267133548,6631
CLSTN1,0.5455982758065314,3.544160520401514e-105,0.39687574313097407,1620
HK1,0.46572812500600025,2.3216467740776007e-73,0.39682043207611156,3574
DNAJC12,0.5379703749321154,9.281575828452668e-102,0.39654093629310583,2255
HOXB2,-0.4984342569444319,2.2393156692022252e-85,0.3960412832952819,3646
RPE65,0.34951510141343517,6.240447165650758e-40,0.3960311329636733,7009
DLG2,0.5089620025752994,1.5721274574904178e-89,0.3958502603346712,2210
SDK2,0.4957090727475198,2.522613400261459e-84,0.395787431798415,7300
RAB26,0.5065107342601357,1.5018866754230417e-88,0.3957335831593695,6619
STX11,-0.4840379535543036,6.310143767336614e-80,0.3955844464970992,8062
PYGL,-0.07210975246905711,0.008155673776224179,0.3955640467995848,6582
PTPRN2,0.32412539613338714,2.85039832654299e-34,0.3954740755952337,6552
SASH1,-0.053474452886553274,0.04991233162926817,0.39535910940486874,7218
BSPRY,0.5226116453919549,3.888900371163025e-95,0.3952617597801048,939
OSBP2,0.5075353482116282,5.8602090694127274e-89,0.3952250777282267,5616
PLA2G5,0.26349866041976616,8.459006137241038e-23,0.3951401158453088,6044
RHOQ,0.04349805857152166,0.11081742100261054,0.3950241509841646,6894
DLC1,-0.1930785101167641,9.216576682175348e-13,0.394986991302103,2206
GNAO1,0.4934305831289418,1.8789640987992935e-83,0.39491606633308507,3246
GNB1,0.337195523816293,4.051919093309582e-37,0.394717296814955,3252
GABRA5,0.3989693943517703,1.4943981773530833e-52,0.3943722062384459,3070
SEMA3G,-0.17243624438974361,1.9423709794995664e-10,0.3943287258233533,7340
DUSP26,0.5161951438493839,1.808124474269908e-92,0.3943117021562426,2364
FUT9,0.43054448472623924,8.181289892804112e-62,0.3939688802481841,3032
FKBP4,0.482472593805587,2.382805790469745e-79,0.3939459624957201,2940
ARL3,0.5628715604281036,2.98670338787547e-113,0.3939380927630792,577
NRCAM,0.26521336066893625,4.368266886611191e-23,0.3939223453908713,5469
REEP1,0.4793462965627749,3.316099134544694e-78,0.3937671090911473,6818
GJA1,0.19390605626765006,7.340975638509898e-13,0.3937282746575086,3192
SERPINF1,-0.06243721119505546,0.02202463145851171,0.39309563269396675,7387
USP2,0.5633902738770115,1.6799848758399117e-113,0.3930883433617348,9022
CXCL14,-0.05041796708660388,0.06453045118700014,0.39293291624102133,1956
PLCH1,0.5853178100726083,1.7531271772548617e-124,0.3928877515183304,6065
PCYOX1,-0.12533601155609544,4.016610449733753e-06,0.39285171557154225,5774
RNF125,-0.505234214577614,4.8295123562446775e-88,0.3927478942517672,6943
MAPK4,0.5071898722096462,8.051578515624711e-89,0.3926365490266146,4602
CSDC2,0.46489173434587183,4.5320296042648316e-73,0.3925146835223515,1856
TRPC6,-0.1423142161202895,1.5961275212102114e-07,0.3924957172714832,8739
